group_id,artifact_id,version
com.taobao.arthas,arthas-memorycompiler,3.7.2
com.blankj,utilcode,1.30.7
com.blankj,utilcodex,1.31.1
com.luhuiguo.netty,netty-handler,4.1.63.GM
io.netty,netty,3.10.6.Final
io.netty,netty-all,4.1.109.Final
io.netty,netty-bom,4.1.109.Final
io.netty,netty-buffer,4.1.109.Final
io.netty,netty-codec,4.1.109.Final
io.netty,netty-codec-dns,4.1.109.Final
io.netty,netty-codec-haproxy,4.1.109.Final
io.netty,netty-codec-http,4.1.109.Final
io.netty,netty-codec-http2,4.1.109.Final
com.alibaba,easyexcel,3.3.4
com.alibaba,easyexcel-core,3.3.4
com.alibaba,easyexcel-parent,3.3.4
com.alibaba,easyexcel-support,3.3.4
com.alibaba,easyexcel-test,3.3.4
org.seleniumhq.selenium,grid,4.0.0-alpha-2
org.seleniumhq.selenium,jetty-repacked,9.4.12.v20180830.1
org.seleniumhq.selenium,jetty-security-repacked,9.2.13.v20150730
org.seleniumhq.selenium,jetty-servlet-repacked,9.2.13.v20150730
org.seleniumhq.selenium,jetty-servlets-repacked,9.2.13.v20150730
org.seleniumhq.selenium,jetty-util-repacked,9.2.13.v20150730
org.seleniumhq.selenium,lift,4.14.0
org.seleniumhq.selenium,selenium-api,4.20.0
org.seleniumhq.selenium,selenium-bom,4.20.0
org.seleniumhq.selenium,selenium-chrome-driver,4.20.0
com.alibaba,druid,1.2.22
com.alibaba,druid-parent,1.2.22
com.alibaba,druid-spring-boot-3-starter,1.2.22
com.alibaba,druid-spring-boot-starter,1.2.22
com.alibaba,druid-wrapper,1.2.22
com.github.AnonymousMister,druid-spring-boot-starter,1.1.18_dynamic
com.pig4cloud,druid,0.1.21
com.pig4cloud,druid-spring-boot-starter,0.1.21
io.github.newland-sri,druid,1.1.21_nl_0.1
org.azolla.com.alibaba,druid,1.2.7_preview_05_Azolla02
com.githup.liuyanggithup,xxl-job-admin,1.2.1
com.githup.liuyanggithup,xxl-job-core,1.2.1
com.githup.liuyanggithup,xxl-job-executor-sample-frameless,1.2.1
com.githup.liuyanggithup,xxl-job-executor-sample-jfinal,1.2.1
com.githup.liuyanggithup,xxl-job-executor-sample-nutz,1.2.1
com.githup.liuyanggithup,xxl-job-executor-sample-spring,1.2.1
com.githup.liuyanggithup,xxl-job-executor-sample-springboot,1.2.1
com.githup.liuyanggithup,xxl-job-executor-samples,1.2.1
com.githup.liuyanggithup,xxl-job-plus,1.2.1
com.xuxueli,xxl-job,2.4.1
com.ctrip.framework.apollo,apollo,2.0.1
com.ctrip.framework.apollo,apollo-client,2.2.0
com.ctrip.framework.apollo,apollo-client-config-data,2.2.0
com.ctrip.framework.apollo,apollo-core,2.2.0
com.ctrip.framework.apollo,apollo-mockserver,2.2.0
com.ctrip.framework.apollo,apollo-openapi,2.2.0
com.alibaba,fastjson,2.0.50
com.taobao.arthas,fastjson,1.2.80-fix
com.aallam.permissionsflow,permissionsflow,1.0.1
com.forceai,butterknife,10.2.3.6
com.forceai,butterknife-annotations,10.2.3.6
com.forceai,butterknife-compiler,10.2.3.6
com.forceai,butterknife-gradle-plugin,10.2.3.6
com.forceai,butterknife-reflect,10.2.3.6
com.forceai,butterknife-runtime,10.2.3.6
com.github.stephanenicolas,butterknife,10.0.0.6
com.github.stephanenicolas,butterknife-annotations,10.0.0.6
com.github.stephanenicolas,butterknife-compiler,10.0.0.6
io.github.scwang90,refresh-drawable-paint,2.1.0
io.github.scwang90,refresh-drawable-path,2.1.0
io.github.scwang90,refresh-footer-ball,2.1.0
io.github.scwang90,refresh-footer-classics,2.1.0
io.github.scwang90,refresh-header-classics,2.1.0
io.github.scwang90,refresh-header-falsify,2.1.0
io.github.scwang90,refresh-header-material,2.1.0
io.github.scwang90,refresh-header-radar,2.1.0
io.github.scwang90,refresh-header-two-level,2.1.0
io.github.scwang90,refresh-layout-kernel,2.1.0
de.greenrobot,eventbus,2.4.1
de.greenrobot,eventbus-annotation-processor,3.0.0-beta1
org.greenrobot,eventbus,3.3.1
org.greenrobot,eventbus-annotation-processor,3.3.1
org.greenrobot,eventbus-java,3.3.1
org.apache.skywalking,agent-analyzer,9.7.0
org.apache.skywalking,ai-pipeline,9.7.0
org.apache.skywalking,analyzer,9.7.0
org.apache.skywalking,apache-skywalking-apm,9.7.0
org.apache.skywalking,apache-skywalking-apm-es7,8.7.0
org.apache.skywalking,apm,9.7.0
org.apache.skywalking,apm-activemq-5.x-plugin,9.2.0
org.apache.skywalking,apm-aerospike-plugin,9.2.0
org.apache.skywalking,apm-agent,9.2.0
org.apache.skywalking,apm-agent-core,9.2.0
com.badlogicgames.gdx,gdx-backend-robovm-metalangle,1.12.1
com.badlogicgames.gdx,gdx-backend-robovm-metalangle-platform,1.12.1
com.badlogicgames.gdx,gdx-box2d,1.12.1
com.badlogicgames.gdx,gdx-box2d-gwt,1.12.1
